tsne_1,tsne_2,genre,cluster
-47.29522,-11.455957,rap,5
98.14169,3.668802,r&b,0
25.383894,82.7857,r&b,2
8.787312,-53.076626,edm,4
12.405807,3.3937418,r&b,5
33.99152,-75.35933,pop,5
-29.945793,-24.597864,edm,5
-4.7739897,-50.131138,pop,5
-51.379433,-56.047985,edm,5
-77.14331,17.887613,edm,1
-62.263153,27.348696,rock,1
81.68976,-24.070873,r&b,4
-29.183939,-20.392729,latin,5
23.109545,56.37678,pop,2
21.995804,-80.092896,latin,5
-9.528166,-49.805317,pop,5
60.122814,-25.205816,rap,4
24.696823,-69.412796,latin,5
40.7446,-1.6445134,rap,4
21.305063,24.671537,pop,2
20.716797,-29.568218,r&b,5
-34.593052,-20.14903,edm,5
-83.91513,-28.216135,pop,5
66.18129,-32.822372,rap,4
-39.444008,-47.593998,rock,5
10.80252,-23.82337,pop,4
-35.933357,23.322071,pop,1
0.67661744,-20.366842,pop,5
-67.200294,-13.2874155,rock,3
-22.003435,31.557825,rock,1
0.4465557,30.859962,pop,5
27.582829,-78.88129,latin,5
56.332634,12.527703,rap,4
32.50193,29.358097,latin,2
21.968128,32.98128,latin,2
53.67031,-57.28593,r&b,4
37.00063,34.455112,rap,4
3.5350509,14.187952,latin,5
20.92553,0.083770886,r&b,4
-27.100271,64.933784,edm,1
-26.703005,12.326321,rock,4
89.439766,-0.4265864,pop,0
-78.19817,15.561539,rock,3
85.24608,24.847385,rap,0
35.5473,69.038994,r&b,2
14.187468,-6.6579027,r&b,5
-49.300232,3.140199,rap,1
-9.382295,-44.644608,edm,5
-0.736549,-32.28848,pop,5
-19.704197,13.41083,rock,5
6.225086,-6.7432265,r&b,5
26.859097,3.8568954,edm,4
36.02977,-30.634739,r&b,4
-3.6537914,10.050818,rock,5
69.99691,37.641064,r&b,0
-52.74605,-44.40608,pop,5
34.909367,24.38268,r&b,2
-26.307026,-60.517994,latin,5
57.899437,-11.47224,r&b,4
-32.743034,49.01116,rock,1
-32.46593,-69.994896,rap,5
-23.249075,45.221233,rock,1
-44.478287,-70.17023,pop,5
16.252037,-27.306992,latin,4
45.549515,-73.92925,latin,5
36.121246,24.099827,rock,2
-22.771082,7.3153825,pop,5
94.93711,7.391721,r&b,0
45.270996,30.23625,latin,2
-52.99389,-35.400574,latin,5
-78.38604,51.033886,edm,3
-0.814133,81.40455,r&b,3
31.197184,77.478165,pop,2
92.112755,24.528736,r&b,0
-9.629233,-27.268906,rock,5
-1.0674105,-27.824408,pop,5
-37.309883,5.1422095,latin,1
-57.404823,17.27247,rock,1
91.155426,11.814248,rap,0
85.849625,1.496459,rap,0
-60.583138,-5.010154,edm,5
-16.504532,21.947762,r&b,1
8.424934,-57.874462,rap,4
81.02431,-15.378272,r&b,0
27.740158,-74.278305,latin,5
35.17415,-75.91685,rock,5
36.183838,37.05999,rock,2
45.322407,31.629034,latin,5
-52.383263,-63.544235,pop,5
9.1406555,14.678731,pop,5
-69.04874,-38.38009,pop,5
-15.627021,1.847637,pop,5
40.52987,69.58979,pop,2
48.269844,14.391006,rap,4
-60.027412,62.751785,rock,3
6.2274346,-62.609684,rap,5
79.600204,-26.153133,rap,4
-37.9282,2.2307754,latin,5
33.958588,20.84829,r&b,2
38.833298,74.861534,r&b,2
-36.087074,40.370796,rock,1
-41.42754,6.3202367,rock,1
51.99564,-55.80227,rap,4
37.654034,80.21077,rock,2
-17.522163,23.571455,r&b,1
-74.12512,-50.29584,edm,5
21.430588,8.757123,latin,5
-16.091946,-1.184764,rap,5
51.57672,5.511273,r&b,1
33.089058,22.35788,r&b,2
59.11708,29.61164,rap,1
95.449974,-3.9959989,r&b,4
-22.164736,-20.914114,pop,5
-35.767796,-39.772808,latin,5
40.16153,25.159729,pop,2
22.537806,14.020392,rock,5
71.645645,23.631737,rap,0
22.71801,67.47133,r&b,2
-62.360077,19.480467,pop,1
44.719444,-50.63304,rap,5
15.15305,-18.218765,r&b,4
39.836445,32.129112,r&b,4
0.75281906,-0.23780516,edm,5
39.53887,71.12338,rock,2
42.517376,-43.26003,rap,4
-60.046513,60.920063,rock,3
-14.630935,-15.866947,rap,4
48.771492,-43.163815,rap,4
24.227392,-7.929145,rap,4
68.96711,29.465315,pop,1
-76.59323,30.115015,rock,3
75.43992,4.866329,rap,0
-59.97888,62.71831,edm,3
18.86948,-25.740278,rap,4
-47.675472,68.673454,rock,3
-28.436985,33.602177,edm,1
-24.705214,3.550671,pop,5
76.298416,-34.294582,rap,4
33.421494,62.02723,r&b,2
-54.21908,36.24676,edm,1
-72.76129,54.789356,rock,3
-43.08081,-18.081089,latin,5
44.797867,-71.268105,latin,4
14.965529,37.592403,r&b,2
21.744701,41.606945,pop,2
13.811482,-38.89551,r&b,4
51.06353,-62.385483,rap,4
41.63053,52.55983,pop,2
-24.347826,-20.69836,edm,5
-34.913914,-25.224398,pop,5
-18.77856,33.49882,rock,1
6.9567323,24.960867,pop,5
-4.5282044,-1.7089031,edm,5
-36.717815,-1.7607999,pop,1
44.985313,-44.369022,pop,4
-47.880234,-50.192913,edm,5
-55.23285,14.737258,rock,1
5.9180703,67.281494,pop,2
24.804272,63.01813,rock,2
14.092034,-68.59845,latin,4
-23.088076,45.635113,rock,1
30.644497,13.175184,rock,4
-65.965,72.74216,rock,3
55.85853,-62.55248,latin,4
35.16433,44.540146,r&b,2
-42.1827,-49.39822,r&b,5
84.14552,20.183031,rap,0
-60.820625,-21.033426,r&b,5
19.187449,37.955967,r&b,2
0.5381811,-6.8429937,r&b,5
41.0862,12.861735,r&b,4
-19.81583,-63.72324,r&b,5
84.57757,14.638534,rap,0
37.868332,39.97061,r&b,2
-31.826754,-50.851475,edm,5
41.309483,-42.271816,rap,4
-43.403164,-43.476364,edm,5
9.13396,22.106066,r&b,5
-79.93064,53.527992,rock,3
-37.932102,-47.676216,rock,5
-69.00856,46.77923,rock,3
-18.388428,7.368296,latin,1
-17.74917,-45.549248,r&b,5
16.196304,84.61149,rock,2
35.915386,40.708813,rap,2
-62.503403,-26.150158,rock,5
97.064095,-7.0220165,rap,4
-33.03854,57.793495,rock,1
-80.655075,27.038704,edm,3
-42.245625,13.168305,pop,1
-51.64714,36.781754,pop,1
-51.003803,-52.936874,pop,5
72.32031,-28.711517,rap,4
39.487972,44.9551,rock,2
30.591696,57.64787,pop,2
43.06665,-77.89555,latin,4
-4.22282,51.754833,pop,3
-61.89921,21.226152,rock,1
-70.7035,55.11641,pop,3
23.834496,58.481377,rock,2
18.529451,-31.63964,latin,4
-31.834215,-43.68828,rock,5
-47.698143,-44.891144,pop,5
29.496628,74.197655,pop,2
-1.4419013,57.66752,rock,3
0.36351657,-54.84376,pop,5
-75.4347,28.514284,edm,3
33.324696,42.17112,r&b,2
3.6281066,-47.825138,rap,4
48.22839,43.894962,latin,2
-78.70151,19.079643,edm,1
45.050915,-29.189306,rap,4
84.94316,29.399612,pop,0
-29.657518,0.3859689,edm,1
6.6519604,-6.4429417,r&b,5
76.05981,-18.16245,rap,0
-31.793156,-43.863857,rock,5
-72.290855,-23.757559,edm,5
-76.52099,-29.186832,pop,5
-16.19121,-69.68259,r&b,5
-23.527569,-9.447886,latin,5
-8.45194,-61.402676,pop,5
6.5954614,-63.102108,r&b,5
-43.426765,37.13846,rock,1
48.591103,-79.0489,latin,4
59.11696,22.52082,rock,0
-62.07155,71.8193,rock,3
96.93971,-2.4033763,r&b,0
-26.41346,-47.86156,pop,5
-38.833145,58.029053,rock,1
-68.59993,-40.125237,rock,5
-66.9112,-3.3737519,edm,5
-37.598297,7.3209357,rap,1
65.70771,29.27361,rap,1
69.72366,26.228561,rap,0
66.50154,-16.664627,r&b,4
64.028175,-27.239088,rap,4
5.4239283,44.99188,r&b,5
-4.255797,51.29155,rock,3
59.242764,11.43382,r&b,0
39.07218,-31.302576,rap,5
4.3682218,46.70239,r&b,3
0.28532416,-27.170694,rock,5
53.93216,6.9795914,r&b,1
34.48863,-36.39583,latin,4
24.640537,-72.03983,latin,5
-33.002724,66.48935,r&b,1
39.159054,10.630849,rap,4
-19.790482,-48.019444,rock,5
-0.9764553,-27.792374,latin,5
-42.35117,37.752415,rock,1
-66.62899,-20.731188,rock,5
88.60699,-16.079273,pop,4
-20.232498,-38.770176,r&b,5
17.282612,5.3258767,rap,4
93.16623,18.059732,rap,0
70.434265,2.733062,rap,0
67.07751,-39.106243,pop,4
-11.980023,-73.23131,r&b,5
-30.599318,58.792923,pop,1
77.7868,-16.918936,rap,0
27.851557,48.20293,r&b,2
-59.2706,-17.247087,pop,5
24.821507,-14.095814,r&b,4
59.732418,-33.93842,pop,4
